Annotation	Gene-Symbol
Lipid-associated-TAMs-Human-FlowSort	CD9
Lipid-associated-TAMs-Human-FlowSort	CD80
Lipid-associated-TAMs-Human-FlowSort	MAF
Lipid-associated-TAMs-Human-FlowSort	CD163
Lipid-associated-TAMs-Human-FlowSort	MRC1
Lipid-associated-TAMs-Human-FlowSort	TFRC
Lipid-associated-TAMs-Human-FlowSort	CD72
Lipid-associated-TAMs-Human-FlowSort	NT5E
Lipid-associated-TAMs-Human-FlowSort	ICOSLG
Lipid-associated-TAMs-Human-FlowSort	CD40LG
Lipid-associated-TAMs-Human-FlowSort	THY1
Lipid-associated-TAMs-Human-TF	FOS
Lipid-associated-TAMs-Human-TF	JUN
Lipid-associated-TAMs-Human-TF	HIF1A
Lipid-associated-TAMs-Human-TF	MAF
Lipid-associated-TAMs-Human-TF	MAFB
Lipid-associated-TAMs-Human-TF	NR1H3
Lipid-associated-TAMs-Human-TF	TCF4
Lipid-associated-TAMs-Human-TF	TFEC
Pro-angiogenic-TAMs-Human-FunctionalSig	ADAM8
Pro-angiogenic-TAMs-Human-FunctionalSig	AREG
Pro-angiogenic-TAMs-Human-FunctionalSig	BNIP3
Pro-angiogenic-TAMs-Human-FunctionalSig	CCL2
Pro-angiogenic-TAMs-Human-FunctionalSig	CCL4
Pro-angiogenic-TAMs-Human-FunctionalSig	CCL20
Pro-angiogenic-TAMs-Human-FunctionalSig	CD163
Pro-angiogenic-TAMs-Human-FunctionalSig	CD300E
Pro-angiogenic-TAMs-Human-FunctionalSig	CD44
Pro-angiogenic-TAMs-Human-FunctionalSig	CD55
Pro-angiogenic-TAMs-Human-FunctionalSig	CEBPB
Pro-angiogenic-TAMs-Human-FunctionalSig	CLEC5A
Pro-angiogenic-TAMs-Human-FunctionalSig	CTSB
Pro-angiogenic-TAMs-Human-FunctionalSig	EREG
Pro-angiogenic-TAMs-Human-FunctionalSig	FCN1
Pro-angiogenic-TAMs-Human-FunctionalSig	FLT1
Pro-angiogenic-TAMs-Human-FunctionalSig	FN1
Pro-angiogenic-TAMs-Human-FunctionalSig	HES1
Pro-angiogenic-TAMs-Human-FunctionalSig	IL1B
Pro-angiogenic-TAMs-Human-FunctionalSig	IL1RN
Pro-angiogenic-TAMs-Human-FunctionalSig	IL8
Pro-angiogenic-TAMs-Human-FunctionalSig	MAF
Pro-angiogenic-TAMs-Human-FunctionalSig	MIF
Pro-angiogenic-TAMs-Human-FunctionalSig	NR1H3
Pro-angiogenic-TAMs-Human-FunctionalSig	OLR1
Pro-angiogenic-TAMs-Human-FunctionalSig	PPARG
Pro-angiogenic-TAMs-Human-FunctionalSig	S100A8
Pro-angiogenic-TAMs-Human-FunctionalSig	S100A9
Pro-angiogenic-TAMs-Human-FunctionalSig	S10012
Pro-angiogenic-TAMs-Human-FunctionalSig	SERPINB2
Pro-angiogenic-TAMs-Human-FunctionalSig	SLC2A1
Pro-angiogenic-TAMs-Human-FunctionalSig	SPIC
Pro-angiogenic-TAMs-Human-FunctionalSig	SPP1
Pro-angiogenic-TAMs-Human-FunctionalSig	THBS1
Pro-angiogenic-TAMs-Human-FunctionalSig	TIMP1
Pro-angiogenic-TAMs-Human-FunctionalSig	VCAN
Pro-angiogenic-TAMs-Human-FunctionalSig	VEGFA
