term	name
Tumor_Derived_HSC/Prog-like	MSI2
Tumor_Derived_HSC/Prog-like	GCSAML
Tumor_Derived_HSC/Prog-like	SOCS2
Tumor_Derived_HSC/Prog-like	EEF1A1
Tumor_Derived_HSC/Prog-like	NRIP1
Tumor_Derived_HSC/Prog-like	HOPX
Tumor_Derived_HSC/Prog-like	CD34
Tumor_Derived_HSC/Prog-like	TFPI
Tumor_Derived_HSC/Prog-like	TPSD1
Tumor_Derived_HSC/Prog-like	PDZRN4
Tumor_Derived_HSC/Prog-like	PCNP
Tumor_Derived_HSC/Prog-like	PTPRCAP
Tumor_Derived_HSC/Prog-like	FLT3
Tumor_Derived_HSC/Prog-like	SMIM24
Tumor_Derived_HSC/Prog-like	SELENOP
Tumor_Derived_HSC/Prog-like	DAPK1
Tumor_Derived_HSC/Prog-like	SMYD3
Tumor_Derived_HSC/Prog-like	ADGRG6
Tumor_Derived_HSC/Prog-like	PIM1
Tumor_Derived_HSC/Prog-like	MECOM
Tumor_Derived_HSC/Prog-like	CEP70
Tumor_Derived_HSC/Prog-like	XIRP2
Tumor_Derived_HSC/Prog-like	SPAG6
Tumor_Derived_HSC/Prog-like	TAPT1-AS1
Tumor_Derived_HSC/Prog-like	GNA15
Tumor_Derived_HSC/Prog-like	DSE
Tumor_Derived_HSC/Prog-like	TPSAB1
Tumor_Derived_HSC/Prog-like	TPSB2
Tumor_Derived_HSC/Prog-like	H2AFY
Tumor_Derived_HSC/Prog-like	SCHIP1
Tumor_Derived_HSC/Prog-like	LINC02470
Tumor_Derived_HSC/Prog-like	NPR3
Tumor_Derived_HSC/Prog-like	KMT2A
Tumor_Derived_HSC/Prog-like	CD200
Tumor_Derived_HSC/Prog-like	MACF1
Tumor_Derived_HSC/Prog-like	GBP4
Tumor_Derived_HSC/Prog-like	ABCC1
Tumor_Derived_HSC/Prog-like	PROM1
Tumor_Derived_HSC/Prog-like	TMEM70
Tumor_Derived_HSC/Prog-like	FAM110A
Tumor_Derived_HSC/Prog-like	TMEM123
Tumor_Derived_GMP-like	PRTN3
Tumor_Derived_GMP-like	MPO
Tumor_Derived_GMP-like	CALR
Tumor_Derived_GMP-like	CLEC5A
Tumor_Derived_GMP-like	ELANE
Tumor_Derived_GMP-like	POU4F1
Tumor_Derived_GMP-like	TRH
Tumor_Derived_GMP-like	TSPOAP1
Tumor_Derived_GMP-like	CEBPE
Tumor_Derived_GMP-like	LINC01835
Tumor_Derived_GMP-like	NUCB2
Tumor_Derived_GMP-like	CSF3R
Tumor_Derived_GMP-like	RUNX1T1
Tumor_Derived_GMP-like	CD38
Tumor_Derived_GMP-like	PLPPR3
Tumor_Derived_GMP-like	IGFBP2
Tumor_Derived_GMP-like	PRRT4
Tumor_Derived_GMP-like	SNHG5
Tumor_Derived_GMP-like	FABP5
Tumor_Derived_GMP-like	LOC100419170
Tumor_Derived_GMP-like	CLEC11A
Tumor_Derived_GMP-like	SERPINB1
Tumor_Derived_GMP-like	AZU1
Tumor_Derived_GMP-like	FBN2
Tumor_Derived_GMP-like	HNRNPDL
Tumor_Derived_GMP-like	HSPB1
Tumor_Derived_GMP-like	RNA5-8S
Tumor_Derived_GMP-like	THSD7A
Tumor_Derived_GMP-like	C12orf57
Tumor_Derived_GMP-like	FGFR1
Tumor_Derived_GMP-like	LPO
Tumor_Derived_GMP-like	MGST1
Tumor_Derived_GMP-like	C1QTNF4
Tumor_Derived_GMP-like	HMGN1
Tumor_Derived_GMP-like	SIPA1L2
Tumor_Derived_GMP-like	DDOST
Tumor_Derived_GMP-like	PTGIR
Tumor_Derived_GMP-like	GATM
Tumor_Derived_GMP-like	VAMP8
Tumor_Derived_GMP-like	FAM46A
Tumor_Derived_GMP-like	VAMP5
Tumor_Derived_GMP-like	STAR
Tumor_Derived_GMP-like	ANKRD18A
Tumor_Derived_GMP-like	TM7SF3
Tumor_Derived_GMP-like	CCND1
Tumor_Derived_GMP-like	ROBO1
Tumor_Derived_GMP-like	GFI1
Tumor_Derived_GMP-like	DEFA4
Tumor_Derived_GMP-like	CERS6
Tumor_Derived_GMP-like	PTMA
Tumor_Derived_Myeloid-like	LYZ
Tumor_Derived_Myeloid-like	S100A9
Tumor_Derived_Myeloid-like	S100A8
Tumor_Derived_Myeloid-like	VCAN
Tumor_Derived_Myeloid-like	MNDA
Tumor_Derived_Myeloid-like	CSTA
Tumor_Derived_Myeloid-like	SRGN
Tumor_Derived_Myeloid-like	FCN1
Tumor_Derived_Myeloid-like	FTL
Tumor_Derived_Myeloid-like	MS4A6A
Tumor_Derived_Myeloid-like	PSAP
Tumor_Derived_Myeloid-like	IFI30
Tumor_Derived_Myeloid-like	ANXA2
Tumor_Derived_Myeloid-like	FGL2
Tumor_Derived_Myeloid-like	S100A10
Tumor_Derived_Myeloid-like	LGALS3
Tumor_Derived_Myeloid-like	CTSS
Tumor_Derived_Myeloid-like	ANXA1
Tumor_Derived_Myeloid-like	ANXA5
Tumor_Derived_Myeloid-like	AIF1
Tumor_Derived_Myeloid-like	NCF2
Tumor_Derived_Myeloid-like	LYST
Tumor_Derived_Myeloid-like	FCER1G
Tumor_Derived_Myeloid-like	CD68
Tumor_Derived_Myeloid-like	TNFSF13B
Tumor_Derived_Myeloid-like	VIM
Tumor_Derived_Myeloid-like	IRS2
Tumor_Derived_Myeloid-like	GRN
Tumor_Derived_Myeloid-like	TNFAIP2
Tumor_Derived_Myeloid-like	MCL1
Tumor_Derived_Myeloid-like	MS4A7
Tumor_Derived_Myeloid-like	CLEC12A
Tumor_Derived_Myeloid-like	S100A12
Tumor_Derived_Myeloid-like	MEGF9
Tumor_Derived_Myeloid-like	CFD
Tumor_Derived_Myeloid-like	S100A6
Tumor_Derived_Myeloid-like	TLR4
Tumor_Derived_Myeloid-like	KLF4
Tumor_Derived_Myeloid-like	SERPINA1
Tumor_Derived_Myeloid-like	MAFB
Tumor_Derived_Myeloid-like	CTSD
Tumor_Derived_Myeloid-like	TMEM170B
Tumor_Derived_Myeloid-like	NAMPT
Tumor_Derived_Myeloid-like	C1orf162
Tumor_Derived_Myeloid-like	S100A11
Tumor_Derived_Myeloid-like	CEBPD
Tumor_Derived_Myeloid-like	ADA2
Tumor_Derived_Myeloid-like	CD14
Tumor_Derived_Myeloid-like	IL17RA
Tumor_Derived_Myeloid-like	DUSP1
Tumor_Derived_perCellType_HSC-like	NPTX2
Tumor_Derived_perCellType_HSC-like	H1F0
Tumor_Derived_perCellType_HSC-like	EMP1
Tumor_Derived_perCellType_HSC-like	MEIS1
Tumor_Derived_perCellType_HSC-like	CALCRL
Tumor_Derived_perCellType_HSC-like	TPSD1
Tumor_Derived_perCellType_HSC-like	TPT1
Tumor_Derived_perCellType_HSC-like	CRHBP
Tumor_Derived_perCellType_HSC-like	CLNK
Tumor_Derived_perCellType_HSC-like	TSC22D1
Tumor_Derived_perCellType_HSC-like	DST
Tumor_Derived_perCellType_HSC-like	NRIP1
Tumor_Derived_perCellType_HSC-like	ABCB1
Tumor_Derived_perCellType_HSC-like	GABRA4
Tumor_Derived_perCellType_HSC-like	ZBTB20
Tumor_Derived_perCellType_HSC-like	ABCA9
Tumor_Derived_perCellType_HSC-like	TPSB2
Tumor_Derived_perCellType_HSC-like	KMT2A
Tumor_Derived_perCellType_HSC-like	FAM30A
Tumor_Derived_perCellType_HSC-like	MEF2C
Tumor_Derived_perCellType_HSC-like	TMEM74
